review_id,emp_id,review_year,rating
1,1,2023,4.2
2,2,2024,3.8
3,3,2022,4.5
4,4,2023,2.9
5,5,2024,4.7
6,6,2022,3.4
7,7,2023,4.1
8,8,2024,3.6
9,9,2022,2.5
10,10,2023,4.8
11,11,2024,3.9
12,12,2022,3.1
13,13,2023,4.0
14,14,2024,2.8
15,15,2022,4.3
16,16,2023,3.7
17,17,2024,4.6
18,18,2022,2.2
19,19,2023,1.9
20,20,2024,3.5
21,21,2022,4.4
22,22,2023,2.7
23,23,2024,4.9
24,24,2022,3.3
25,25,2023,3.8
26,26,2024,2.6
27,27,2022,4.2
28,28,2023,3.0
29,29,2024,3.4
30,30,2022,2.1
31,31,2023,4.6
32,32,2024,3.9
33,33,2022,4.8
34,34,2023,4.1
35,35,2024,4.7
36,36,2022,3.5
37,37,2023,1.8
38,38,2024,3.6
39,39,2022,4.0
40,40,2023,4.3
41,41,2024,2.9
42,42,2022,3.7
43,43,2023,3.2
44,44,2024,4.4
45,45,2022,2.4
46,46,2023,3.8
47,47,2024,4.5
48,48,2022,3.0
49,49,2023,4.2
50,50,2024,2.7
51,51,2022,3.6
52,52,2023,4.1
53,53,2024,2.3
54,54,2022,2.8
55,55,2023,4.9
56,56,2024,3.4
57,57,2022,3.9
58,58,2023,4.7
59,59,2024,4.0
60,60,2022,3.3
61,61,2023,2.6
62,62,2024,4.4
63,63,2022,3.1
64,64,2023,4.8
65,65,2024,3.5
66,66,2022,3.7
67,67,2023,4.2
68,68,2024,3.0
69,69,2022,4.1
70,70,2023,3.9
71,71,2024,2.5
72,72,2022,4.6
73,73,2023,3.4
74,74,2024,3.2
75,75,2022,2.0
76,76,2023,4.8
77,77,2024,4.3
78,78,2022,2.9
79,79,2023,3.6
80,80,2024,4.0
81,81,2022,3.1
82,82,2023,2.7
83,83,2024,3.8
84,84,2022,4.5
85,85,2023,1.6
86,86,2024,4.2
87,87,2022,3.9
88,88,2023,4.1
89,89,2024,3.3
90,90,2022,4.4
91,91,2023,4.6
92,92,2024,2.4
93,93,2022,4.7
94,94,2023,3.5
95,95,2024,4.8
96,96,2022,3.2
97,97,2023,4.3
98,98,2024,2.1
99,99,2022,4.0
100,100,2023,4.5
