OrderID,Product,Price
1,Laptop,50000
2,Phone,20000
3,Tablet,30000
4,Monitor,15000
5,Keyboard,1500
6,Mouse,800
7,Printer,12000
8,Headphones,2500
9,Speaker,4000
10,Smartwatch,7000
11,Camera,35000
12,Charger,1000
13,USB Cable,300
14,External HDD,6000
15,SSD,8000
16,Router,2500
17,Microphone,4500
18,Projector,42000
19,Webcam,3200
20,Graphics Card,55000
21,Motherboard,12000
22,RAM,6000
23,Power Bank,2000
24,Tablet Pen,1500
25,Laptop Bag,1800
26,Desk Lamp,1200
27,Gaming Mouse,3500
28,Gaming Keyboard,5000
29,VR Headset,45000
30,Drone Camera,65000
